Nom;Ville;Departement;Websites;Mail;Produits;Infos
"AMAP Ain'stant Panier";amberieu-en-bugey;01;https://www.facebook.com/AinstantPanier;ainstantpanier@gmail.com;" Légumes, oeufs, viandes porc et boeuf, pommes, vins, tisanes, miel";"Distribution le mardi de 18h45 à 19h30 au Centre Social le Lavoir Ruche Numérique - 87, avenue Roger Salengro."
AMAP'HORT;amberieu-en-bugey;01;"https://www.facebook.com/pages/category/Nonprofit-Organization/AmapHort-1735424043366604/ | go.php?typ=1&id=1031";amaphort52@laposte.net;" Légumes, fruits, fromage, farine, oeufs, viandes";"Distribution le vendredi de 17h30 à 19h à la MJC-Centre Culturel Louise Michel - Place Jules Ferry."
"AMAP des Ecuets";attignat;01;"https://www.facebook.com/Amap-des-Ecuets-Bourg-en-Bresse-Attignat-226323461482528/ | go.php?typ=1&id=965";amapecuets@gmail.com;" Légumes, viande";"Distribution le vendredi de 18h30 à 19h à la ""Ferme des Ecuets""."
"L'Hirondelle de Rivage";bohas;01;go.php?typ=1&id=1034;hirondellederivage@mailo.com;" Légumes, pain, volaille, viandes de boeuf, de veau, de porc et d'agneau, fromages de chèvre, bière";"Distribution le vendredi de 17h30 à 19h à l'ancienne école."
"Amap des Ecuets";bourg-en-bresse;01;"https://www.facebook.com/Amap-des-Ecuets-Bourg-en-Bresse-Attignat-226323461482528/ | go.php?typ=1&id=1652";amapecuets@gmail.com;" Légumes, viande";"Distribution le mardi de 18h30 à 19h à la Biocoop - 10, Bd J. Kennedy."
BOURGAMAP;bourg-en-bresse;01;go.php?typ=1&id=2764;bourgamap@gmail.com;" Légumes, pain, oeufs, lait, miel";"Distribution le lundi de 18h à 19h30 sur le site universitaire Jean Moulin Lyon 3 "" la Charité"" - 2, rue du 23ème R.I."
"AMAP Terre Ain d'Entente";champagne-en-valromey;01;;contact@amapterreaindentente.fr;" Légumes, pommes, fromages, miel, oeufs, viande, pain, champignons, vin";"Distribution le mardi de 17h30 à 19h au local rue du Boule."
"Les Paniers TerriAin";chatillon-sur-chalaronne;01;https://www.facebook.com/pg/TerriAinBio/posts/;assoterriain@gmail.com;" Légumes BIO, oeufs, viande, pain";"Distribution le mercredi de 17h30 à 19h « Côté rue, côté jardin » au 65, Rue Gambetta. Contact téléphonique : - Boutique ""Côté rue, côté jardin"" : 04 74 23 41 89 Ceci est une association ayant les AMAP pour modèle."
"AMAP du Pays de Gex";ferney-voltaire;01;;;" Légumes BIO";"Distribution le jeudi de 17h30 à 19h dans la grange du 30, Grande Rue."
"AMAP du Vert";soie;01;;amapjuju@gasparanc.fr;" Légumes BIO, fruits BIO, viande BIO, fromage de chèvre, oeufs BIO, pain, bière, vin, miel";"Distribution le jeudi de 18h15 à 19h15 sous les Halles."
"AMAP DU TOISON";meximieux;01;"https://fr-fr.facebook.com/amapdutoison/ | go.php?typ=1&id=1773";amapdutoison@gmail.com;" Légumes, pommes, pain, fromage de chèvre, viande, oeufs, miel";"Distribution le jeudi de 18h30 à 19h30 sous le Préau de la Mairie sur la place « piétonne » de la bibliothèque."
"AMAP'ORTE MIRIBEL";miribel;01;go.php?typ=1&id=915;amaportemiribel1@gmail.com;" Légumes, pain, brioche, oeufs, fromage de chèvre, fruits, viandes de porc de boeuf et d'agneau, volaille, légumineuses, pâtes, farine, petits gâteaux sucrés salés, miel, noix, bière, sève de bouleau";"Distribution le jeudi de 18h à 19h àl'Espace Rencontres et Loisirs - Place de la République."
"AMAP Les Paniers de la Côtière";montluel;01;go.php?typ=1&id=444;amapcotiere01@gmail.com;" Légumes, fruits, pain, fromage, viande, poulet, oeufs, farine, huile";"Distribution le vendredi de 18h30 à 19h30 à la MJC (derrière le gymnase) - Ruette du Loup."
"AMAP de Nizerel";nizerel;01;"https://www.facebook.com/people/AMAP-Nizerel/61553449845160/?is_tour_completed=true | go.php?typ=1&id=1653";echanges@liste.amapnizerel.fr;" Légumes, fruits, viandes, volaille, fromages, pain, farine, produits laitiers, oeufs, sorbets, bière";"Distribution le vendredi de 18h à 19h à la ferme ""Les Jardins de Nizerel""."
"AMAP La Jur'Ainsienne";oyonnax;01;go.php?typ=1&id=2475;amapoyonnax@gmail.com;" ";"Distribution le jeudi de 17h30 à 19h15 au Centre social-salle famille - 1 place des Arcades à Bellignat."
"AMAP LES PANIERS DE LA FONTAINE";peron;01;"https://www.facebook.com/groups/www.lespaniersdelafontaine ";amapperon@gmail.com;" Légumes BIO, viande";"Distribution le mardi de 18h35 à 19h devant l'ancienne boulangerie. Tous les 3èmes mardis du mois, partenariat pour du poisson avec La Ferme Aquaponique du pays de Gex, qui livre truites fraîches, en filet, en terrine, en soufflé etc. Il y a aussi 1 à 2 commande de viande par année."
"AMAP DE LA VEYLE";pont-de-veyle;01;https://www.facebook.com/amapdelaveyle;amapdelaveyle@gmail.com;" Légumes, oeufs, pommes, fromage de chèvre, pains, bière";"Distribution le mardi de 18h30 à 19h sur le parvis de la gare. Contact téléphonique : 06 98 11 43 77"
"Les Paniers de Luisandre";saint-denis-les-bourg;01;"https://www.facebook.com/terres.de.luisandre | go.php?typ=1&id=1032";panierdeluisandre@gmail.com;" Légumes BIO, viande BIO, oeufs BIO, fromages BIO, pain BIO, pommes BIO, farine BIO";"Distribution le mardi de 18h à 19h30 à la Ferme de Luisandre - Chemin de Luisandre."
"Amap'tite Contrée";sainte-julie;01;go.php?typ=1&id=1768;amaptitecontree@gmail.com;" Légumes, petits fruits, viande, fromage, pains, farine, oeufs, pâtes, jus de fruits, miel";"Distribution le mercredi de 17h75 à 18h45 à la salle Julycienne - rue de la Mairie."
"AMAP des Chênes";sergy;01;;info@amapdeschenes.fr;" Légumes BIO, oeufs";"Distribution le mardi ou le vendredi de 18h à 19h au hangar de la ferme « Les Jardins du Renard »."
"AMAP de Valanjou";valanjou;01;go.php?typ=1&id=2673;amapdevalanjou@gmail.com;" Légumes, fruits rouges volaille, oeufs, huiles, galettes & farine, pain, pâtes fraiches et sèches";"Distribution le jeudi de 18h30 à 19h30 au Margat et le vendredi à l?ASSO7 pour le pain."
"Les Paniers De Versonnex";versonnex;01;go.php?typ=1&id=1650;webmaster.panierdeversonnex@gmail.com;" Légumes BIO, fruits BIO, oeufs, viandes BIO, produits laitiers";"Distribution le mardi de 17h à 19h - 92, Place Saint-Martin."
